Price,Close,High,Low,Open,Volume,Log_Return
Ticker,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,
Date,,,,,,
2019-10-19,172.91302490234375,175.6082305908203,172.2154541015625,173.64944458007812,6551453871,-0.00408798694013855
2019-10-20,175.5343780517578,176.71868896484375,171.21072387695312,172.97476196289062,6801091120,0.015046188208206282
2019-10-21,174.92098999023438,177.74172973632812,173.28775024414062,175.52474975585938,6815820627,-0.0035005238544626107
2019-10-22,172.3008575439453,175.6500244140625,172.2662353515625,174.90505981445312,6990951966,-0.015092265641809648
2019-10-23,162.4027862548828,172.4205780029297,157.4634246826172,172.26280212402344,9624925919,-0.05916253623893594
2019-10-24,162.16854858398438,164.14756774902344,160.88795471191406,162.5141143798828,7300917537,-0.0014433665972410942
2019-10-25,181.52320861816406,183.0001220703125,161.9660186767578,162.18971252441406,10358594018,0.11274729897949086
2019-10-26,179.83547973632812,195.9425048828125,176.13380432128906,181.6670684814453,13831784986,-0.009341085233206778
2019-10-27,184.24221801757812,188.15533447265625,177.68235778808594,179.93263244628906,10815941952,0.024208862709284306
2019-10-28,182.66281127929688,187.88316345214844,180.2495574951172,184.3975067138672,10406734124,-0.00860940225868667
2019-10-29,190.3425750732422,191.8467559814453,182.36436462402344,182.67037963867188,10622761958,0.04118358343837068
2019-10-30,184.69216918945312,191.1119384765625,181.54637145996094,190.33639526367188,10484902804,-0.03013498651219995
2019-10-31,183.9669189453125,188.7512664794922,180.068359375,184.79762268066406,9607939606,-0.003934535743671212
2019-11-01,183.9698944091797,185.05970764160156,181.09449768066406,183.80369567871094,9145611130,1.6173776361797525e-05
2019-11-02,183.92572021484375,185.70895385742188,182.79766845703125,184.01815795898438,8087991830,-0.00024014526290765318
2019-11-03,182.42501831054688,185.0242156982422,179.81814575195312,183.9948272705078,8760247744,-0.008192751593194091
2019-11-04,186.35519409179688,188.02293395996094,181.8216094970703,182.31903076171875,10551917945,0.021315268288079618
2019-11-05,189.30416870117188,191.25782775878906,184.3319854736328,186.30931091308594,10024177342,0.015700581324965848
2019-11-06,191.59384155273438,193.54725646972656,188.6676788330078,189.11349487304688,10156458684,0.012022643173340262
2019-11-07,187.97654724121094,191.86109924316406,186.56700134277344,191.50430297851562,9081247799,-0.019060516479859825
2019-11-08,184.2114715576172,188.81597900390625,182.54136657714844,187.9242706298828,9176780911,-0.0202328067205393
2019-11-09,185.02871704101562,185.83853149414062,183.90223693847656,184.3117218017578,7277418704,0.004426640669876716
2019-11-10,189.47727966308594,190.9206085205078,184.68678283691406,184.943359375,8752784211,0.023758080816783947
2019-11-11,185.48963928222656,190.3384246826172,185.08631896972656,189.5029296875,7877424106,-0.021270093535684362
2019-11-12,186.84341430664062,187.94802856445312,184.19105529785156,185.56483459472656,7792186666,0.007271881865040706
2019-11-13,188.2587432861328,189.33187866210938,185.9379425048828,186.94244384765625,7343173596,0.0075464012538268505
2019-11-14,185.9996337890625,188.6345977783203,184.99229431152344,188.2725067138672,7872664470,-0.01207260584526745
2019-11-15,180.52117919921875,186.2518310546875,179.3795623779297,186.05816650390625,8815678477,-0.02989659766192224
2019-11-16,183.34835815429688,184.1552734375,179.9856719970703,180.4990997314453,6789888120,0.015539832595956057
2019-11-17,185.11923217773438,188.19134521484375,182.33680725097656,183.350830078125,7364325471,0.009612175967251262
2019-11-18,180.55960083007812,186.92715454101562,179.17550659179688,185.0414581298828,7787662111,-0.024939193962544796
2019-11-19,177.45555114746094,182.5279998779297,175.19711303710938,180.50245666503906,7536699743,-0.01734076028850665
2019-11-20,175.69834899902344,178.99314880371094,175.29043579101562,177.415283203125,7205785149,-0.009951563041062855
2019-11-21,161.4627227783203,176.20921325683594,159.36512756347656,175.67359924316406,8546371325,-0.08449430113454345
2019-11-22,150.26817321777344,163.02809143066406,142.34410095214844,161.50588989257812,12020749863,-0.07185277801231771
2019-11-23,153.41778564453125,154.1015625,147.6012420654297,150.21221923828125,8289198330,0.020743305838662653
2019-11-24,142.83470153808594,153.96591186523438,142.83470153808594,153.43052673339844,7782769098,-0.07147679678260763
2019-11-25,146.47653198242188,150.2079620361328,133.80233764648438,142.69700622558594,10962753356,0.025177196025247373
2019-11-26,148.96507263183594,150.0047607421875,145.2168731689453,146.40431213378906,7648516297,0.01684664222096348
2019-11-27,153.01055908203125,154.88720703125,143.52560424804688,148.39682006835938,8778095308,0.026795066019323202
2019-11-28,151.7175750732422,156.61358642578125,151.09112548828125,153.06924438476562,7346531960,-0.008486198833893562
2019-11-29,155.3041534423828,156.84840393066406,151.46043395996094,151.7686004638672,7503898278,0.023364740650403074
2019-11-30,152.53968811035156,156.69129943847656,151.225341796875,155.28640747070312,6565950868,-0.0179606623433838
2019-12-01,151.18572998046875,152.49192810058594,147.06793212890625,152.49192810058594,7102780298,-0.008915731236824648
2019-12-02,149.0591583251953,152.11695861816406,147.60679626464844,151.17547607421875,6670561362,-0.014165817968262436
2019-12-03,147.9564208984375,150.3104248046875,146.00167846679688,149.05824279785156,6204379850,-0.007425485871923782
2019-12-04,146.74774169921875,150.68081665039062,145.00088500976562,147.9183807373047,7865937094,-0.008202707187182738
2019-12-05,149.24899291992188,153.1553955078125,145.45907592773438,146.68649291992188,6745910228,0.01690093481664711
2019-12-06,149.19444274902344,149.67051696777344,147.6065216064453,149.396484375,6458766441,-0.000365564559218182
2019-12-07,148.76815795898438,149.79971313476562,148.37477111816406,149.19760131835938,5911233284,-0.0028613327972497682
2019-12-08,151.2647247314453,152.39292907714844,148.31333923339844,148.74368286132812,6441727252,0.016642338480464775
2019-12-09,148.2251739501953,151.9139404296875,147.62136840820312,151.22439575195312,6744206747,-0.02029888262095022
2019-12-10,146.2670440673828,148.56446838378906,144.907958984375,148.1798553466797,6859512025,-0.013298543194468106
2019-12-11,143.60800170898438,147.1392059326172,143.0453643798828,146.32064819335938,7037180049,-0.01834664268420005
2019-12-12,145.60400390625,145.75164794921875,141.43698120117188,143.61566162109375,7890383413,0.013803257471486554
2019-12-13,144.9447479248047,145.8571014404297,143.74652099609375,145.6556854248047,7264810247,-0.0045380137320135275
2019-12-14,142.86923217773438,145.52908325195312,142.43455505371094,144.9534149169922,7048066973,-0.014422869418133921
2019-12-15,143.114990234375,143.92535400390625,139.4269561767578,142.864990234375,7235153411,0.001718683045257581
2019-12-16,133.61402893066406,143.224853515625,132.4566650390625,143.1395263671875,8992282119,-0.06869317207995979
2019-12-17,122.60388946533203,134.01153564453125,121.39508056640625,133.64718627929688,9057166141,-0.08599651471728312
2019-12-18,133.09219360351562,133.3941650390625,119.78005981445312,122.6568374633789,11864518321,0.08208332523038238
2019-12-19,129.32113647460938,134.19064331054688,125.97166442871094,133.0527801513672,9564699140,-0.02874333216942749
2019-12-20,129.06605529785156,129.7563018798828,126.9853515625,129.38436889648438,8173594150,-0.001974411021484844
2019-12-21,128.13095092773438,129.1476593017578,127.61209106445312,129.09596252441406,7449064703,-0.007271534798612843
2019-12-22,132.3725128173828,133.1600341796875,127.9284896850586,128.09812927246094,9121058481,0.032567219750779294
2019-12-23,128.6140899658203,134.73175048828125,127.41671752929688,132.30699157714844,9622497693,-0.02880364475287924
2019-12-24,129.0638885498047,131.6722869873047,127.30876922607422,128.62925720214844,7961819689,0.0034911717596614925
2019-12-25,126.45463562011719,129.06849670410156,124.88549041748047,129.06849670410156,8418019054,-0.020423909684539443
2019-12-26,126.36122131347656,130.89834594726562,125.40644073486328,126.486328125,8600871980,-0.0007389909163518419
2019-12-27,127.21460723876953,128.09756469726562,124.82080841064453,126.3687973022461,8299390176,0.006730839859569822
2019-12-28,128.3227081298828,130.25816345214844,126.89969635009766,127.2130126953125,8069298610,0.008672767303395773
2019-12-29,134.7579803466797,136.8112030029297,127.9976577758789,128.26687622070312,9708776786,0.048932182988497684
2019-12-30,132.63348388671875,136.75735473632812,131.54556274414062,134.79652404785156,9796951716,-0.015890867513610255
2019-12-31,129.61085510253906,133.73268127441406,128.79815673828125,132.61227416992188,8936866397,-0.023053024955973434
