asset,run_id,start,end,duration_days,side,run_return,run_log_return,max_abs_daily_return
BTC,83,2024-05-31,2024-06-01,2,1,-0.009625609049953576,-0.009672234665950642,0.012778150001159894
BTC,84,2024-06-05,2024-06-07,3,1,-0.017361746920125598,-0.017514229535306923,0.01999201273457618
BTC,85,2024-06-09,2024-06-09,1,1,0.00493781012787653,0.004925659126589219,0.00493781012787653
BTC,86,2024-07-28,2024-07-28,1,1,0.006525726007755361,0.006504525639670648,0.006525726007755361
BTC,87,2024-08-02,2024-08-02,1,1,-0.06032105869640059,-0.06221701386487153,0.06032105869640059
BTC,88,2024-09-27,2024-09-29,3,1,0.006969592674631375,0.006945417326825479,0.00935309904070647
BTC,89,2024-10-15,2024-10-20,6,1,0.04475021244622579,0.04377782569233848,0.015118035686984221
BTC,90,2024-10-29,2024-11-03,6,1,-0.016688285556648252,-0.016829103869907477,0.04023493905417541
BTC,91,2024-11-07,2024-11-27,21,1,0.26868985752858765,0.2379847597512733,0.10223522760015435
BTC,92,2025-01-21,2025-01-21,1,1,0.040479676535688514,0.03968183425876291,0.040479676535688514
BTC,93,2025-01-29,2025-01-30,2,1,0.033580824632280626,0.03302930185425709,0.023395602825692086
BTC,94,2025-04-22,2025-04-27,6,-1,-0.0709487138357574,-0.07359133591786965,0.06767662701452015
BTC,95,2025-06-06,2025-06-06,1,1,0.027707252931573167,0.02733035306445883,0.027707252931573167
BTC,96,2025-06-08,2025-06-08,1,1,0.0016855786016509722,0.0016841596083658347,0.0016855786016509722
BTC,97,2025-07-10,2025-07-10,1,-1,-0.041864660687494615,-0.042766238220539605,0.041864660687494615
BTC,98,2025-08-13,2025-08-17,5,-1,0.020706596659227472,0.020495129284091473,0.040411222672351976
BTC,99,2025-09-28,2025-09-28,1,1,0.02225248016477188,0.022008506441889,0.02225248016477188
BTC,100,2025-10-08,2025-10-09,2,1,0.0020930443039288704,0.0020908569383367246,0.01567280940669602
BTC,101,2025-11-03,2025-11-03,1,1,-0.03698585893164408,-0.03768718290100999,0.03698585893164408
BTC,102,2025-11-29,2025-12-03,5,1,0.0286907185684826,0.028286846627980117,0.05825464938016567
BTC,103,2025-12-05,2025-12-12,8,1,-0.02030798716106863,-0.02051702932484149,0.029887330373216225
BTC,104,2025-12-15,2025-12-19,5,1,-0.0008142526644624448,-0.0008145843482250774,0.03090097713717843
BTC,105,2025-12-21,2025-12-21,1,1,0.0031439599746445612,0.0031390280669266876,0.0031439599746445612
ETH,1,2019-01-02,2019-01-09,8,1,0.07089721122306902,0.06849681227812217,0.10103913415708599
ETH,2,2019-01-14,2019-01-14,1,1,0.10411591049723246,0.09904493373611378,0.10411591049723246
ETH,3,2019-02-18,2019-02-23,6,1,0.18859850499158481,0.17277488616028736,0.09355989170737233
ETH,4,2019-02-27,2019-03-03,5,1,-0.04229321054669999,-0.04321361314764707,0.016392586465016845
ETH,5,2019-03-05,2019-03-09,5,1,0.0797595597222529,0.07673838646361339,0.07864083293078838
ETH,6,2019-04-02,2019-04-14,13,1,0.18337541334086094,0.1683708747566943,0.15604155441984235
ETH,7,2019-04-16,2019-04-24,9,1,0.026315608052752903,0.025975309634132707,0.04110952232758769
ETH,8,2019-05-13,2019-06-04,23,1,0.2883404884368188,0.25335494712311224,0.13817491598827325
ETH,9,2019-06-23,2019-06-26,4,1,0.08847642490353436,0.08477894312400559,0.05855177913508958
ETH,10,2019-06-29,2019-06-29,1,1,0.028380634063252197,0.0279853650997069,0.028380634063252197
ETH,11,2019-08-08,2019-08-10,3,1,-0.08682973325512189,-0.09083292426865722,0.0473108942028001
ETH,12,2019-09-10,2019-09-12,3,1,-0.0007361977039562762,-0.0007364688305626383,0.012816322850751183
ETH,13,2019-09-20,2019-09-21,2,1,-0.0260512753465727,-0.026396620818341356,0.014600469925862058
ETH,14,2019-10-18,2019-10-20,3,1,-0.014008851773843145,-0.014107901878058026,0.024754556894477253
ETH,15,2019-11-19,2019-11-19,1,1,-0.017191274617062935,-0.017340760288506424,0.017191274617062935
ETH,16,2019-12-30,2020-01-02,4,1,-0.05452590777624522,-0.056068792397324416,0.025930970201487602
ETH,17,2020-01-15,2020-02-25,42,1,0.4932787179168907,0.4009741842664716,0.12531177329455678
ETH,18,2020-04-03,2020-04-06,4,1,0.19085333060020737,0.17467013467915465,0.17826423737809294
ETH,19,2020-04-11,2020-04-11,1,1,-0.0012399681825301379,-0.001240737579160973,0.0012399681825301379
ETH,20,2020-04-15,2020-04-20,6,1,0.09328116696005329,0.08918341944334154,0.12310565300359055
ETH,21,2020-05-30,2020-06-08,10,-1,-0.12139744686605702,-0.1294226415330673,0.0982007880562834
ETH,22,2020-06-13,2020-06-13,1,-1,-0.005960735282637852,-0.005978571378007199,0.005960735282637852
ETH,23,2020-07-23,2020-08-21,30,1,0.48413512343590437,0.3948321941283054,0.11472873899322056
ETH,24,2020-10-22,2020-10-23,2,1,0.04481685522244838,0.04384161189693179,0.055032023655851914
ETH,25,2020-10-26,2020-10-26,1,-1,0.030351866854822607,0.029900362208949937,0.030351866854822607
ETH,26,2020-10-28,2020-10-28,1,-1,0.037986127241859347,0.037282419762150125,0.037986127241859236
ETH,27,2020-11-21,2020-12-07,17,1,0.16105873626245293,0.1493322925320658,0.09091766638538712
