asset,date,source,target_position,days_until_combined_confirms,missed_directional_return_until_confirm
BTC,2023-10-10,trend_position,-1,,-0.2619026990238551
BTC,2023-10-11,trend_position,1,0,-0.018900326735168282
BTC,2023-10-17,trend_position,1,0,-0.0036367703063566736
BTC,2023-10-18,trend_position,-1,,-0.24123230008115493
BTC,2023-10-20,trend_position,1,0,0.033535830870205396
BTC,2023-12-05,trend_position,1,0,0.05003682455553493
BTC,2023-12-11,trend_position,-1,,-0.08028466812310309
BTC,2023-12-13,trend_position,1,0,0.03475299863154757
BTC,2023-12-15,trend_position,-1,,0.006518811860638074
BTC,2024-01-08,trend_position,-1,,-0.02856618339569661
BTC,2024-01-10,trend_position,1,0,0.010577584004972662
BTC,2024-02-08,trend_position,-1,,-0.3750949364089934
BTC,2024-02-11,trend_position,1,23,0.33555564695607254
BTC,2024-04-13,trend_position,1,,-0.06390895970978483
BTC,2024-05-02,trend_position,1,,0.16227081195521187
BTC,2024-05-08,trend_position,1,0,-0.018398626419713127
BTC,2024-05-10,trend_position,1,0,-0.035799920573900024
BTC,2024-05-15,trend_position,-1,,-0.08441588439818681
BTC,2024-05-31,trend_position,1,0,-0.012778150001159894
BTC,2024-06-02,trend_position,-1,,0.08195922263338162
BTC,2024-06-05,trend_position,1,0,0.007298724608017615
BTC,2024-06-08,trend_position,-1,,0.2058158167657309
BTC,2024-06-09,trend_position,1,0,0.00493781012787653
BTC,2024-06-30,trend_position,1,,0.08726992053528093
BTC,2024-07-15,trend_position,-1,,-0.005911860271632152
BTC,2024-07-28,trend_position,1,0,0.006525726007755361
BTC,2024-07-29,trend_position,-1,,0.10882673175853141
BTC,2024-08-02,trend_position,1,0,-0.06032105869640059
BTC,2024-08-23,trend_position,-1,,-0.06938206973633532
BTC,2024-09-06,trend_position,1,,0.11856137735848438
BTC,2024-09-08,trend_position,1,,0.1476233354690124
BTC,2024-09-19,trend_position,-1,,-0.108017105580547
BTC,2024-09-27,trend_position,1,0,0.00935309904070647
BTC,2024-09-30,trend_position,-1,,-0.10480973768913493
BTC,2024-10-15,trend_position,1,0,0.015064992457922477
BTC,2024-10-29,trend_position,1,0,0.04023493905417541
BTC,2024-11-07,trend_position,1,0,0.003513808689745934
BTC,2024-12-18,trend_position,-1,,-0.0035510806147411866
BTC,2025-01-06,trend_position,-1,,-0.0016525083612520808
BTC,2025-01-17,trend_position,-1,,0.02431641968211884
BTC,2025-01-21,trend_position,1,0,0.040479676535688514
BTC,2025-01-22,trend_position,-1,,0.09484802092902567
BTC,2025-01-29,trend_position,1,0,0.023395602825692086
BTC,2025-01-31,trend_position,-1,,0.08678570020296794
BTC,2025-02-05,trend_position,1,,-0.11371146875541027
BTC,2025-04-06,trend_position,1,,0.15924450073695273
BTC,2025-04-22,trend_position,-1,0,-0.06767662701452015
BTC,2025-04-28,trend_position,1,,0.1498320920085794
BTC,2025-06-05,trend_position,1,1,-0.003262046709405775
BTC,2025-07-10,trend_position,-1,0,-0.041864660687494615
BTC,2025-07-11,trend_position,1,,0.028620008053151347
BTC,2025-08-01,trend_position,1,,-0.06497588926270725
BTC,2025-08-13,trend_position,-1,0,-0.026388279596092357
BTC,2025-08-25,trend_position,1,,-0.0011440038026038213
BTC,2025-09-11,trend_position,-1,,0.01576042416115242
BTC,2025-09-25,trend_position,1,3,-0.01064154889696134
BTC,2025-10-02,trend_position,1,6,0.039662705027298406
BTC,2025-11-03,trend_position,1,0,-0.03698585893164408
BTC,2025-11-09,trend_position,1,,-0.09376425238068908
BTC,2025-11-29,trend_position,1,0,-0.0007425028351905061
BTC,2025-12-05,trend_position,1,0,-0.029887330373216225
BTC,2025-12-15,trend_position,1,0,-0.019908078936967
BTC,2019-01-01,vol_position,1,,-0.10035782120601999
BTC,2019-02-18,vol_position,-1,0,-0.06583804009467542
BTC,2019-03-02,vol_position,1,0,0.0012517668104363722
BTC,2019-03-16,vol_position,-1,4,-0.03158085346235595
BTC,2019-04-02,vol_position,-1,,-0.2761968155767023
BTC,2019-05-06,vol_position,1,0,-0.008437513242851802
BTC,2019-06-18,vol_position,1,1,-0.005024601214516977
BTC,2019-08-04,vol_position,1,,-0.018313761883826163
BTC,2019-09-05,vol_position,1,1,-0.02276564116400026
BTC,2019-10-10,vol_position,1,0,-0.0010780457889411066
BTC,2019-12-27,vol_position,1,14,0.12813809323509817
BTC,2020-01-29,vol_position,1,0,-0.004483577295090302
BTC,2020-02-13,vol_position,-1,,0.6380206580354681
BTC,2020-03-25,vol_position,1,0,-0.007979552925792555
BTC,2020-04-29,vol_position,-1,,-0.2127052009781536
BTC,2020-06-01,vol_position,-1,0,-0.07464386293982206
BTC,2020-07-22,vol_position,-1,0,-0.016050921443329758
BTC,2020-08-02,vol_position,1,0,-0.060034265575901635
BTC,2020-09-18,vol_position,1,5,-0.06418890654692566
BTC,2020-10-09,vol_position,-1,0,-0.013629236597062944
BTC,2020-11-05,vol_position,1,0,0.10231863433740651
BTC,2020-12-18,vol_position,1,0,0.014593135822884129
BTC,2021-02-06,vol_position,1,4,0.17758547080100695
BTC,2021-03-12,vol_position,1,0,-0.008183206626845796
BTC,2021-04-14,vol_position,1,0,-0.00620063437737306
BTC,2021-05-03,vol_position,1,,-0.33649188870179214
BTC,2021-06-03,vol_position,1,0,0.043475133082156336
BTC,2021-06-28,vol_position,1,0,-0.006213875976586625
BTC,2021-07-23,vol_position,1,,0.5263668294416626
BTC,2021-07-26,vol_position,-1,0,-0.05621887171744144
BTC,2021-08-18,vol_position,1,0,0.002367765389513554
BTC,2021-10-03,vol_position,1,7,0.14797463038948044
BTC,2022-02-07,vol_position,-1,0,-0.033665872045371525
BTC,2022-02-16,vol_position,1,,-0.06223296094065767
BTC,2022-03-02,vol_position,1,,0.04344546489511458
BTC,2022-03-17,vol_position,1,8,0.07789243287141923
BTC,2022-03-30,vol_position,-1,0,0.008491735032190473
BTC,2022-05-23,vol_position,1,0,-0.04039123144227663
BTC,2022-06-28,vol_position,1,0,-0.02193553187871977
BTC,2022-09-12,vol_position,1,1,-0.06764350778167927
